lambda_size,lambda_corr,lambda_risk,lambda_marginal,best_subset,best_score,base_score,pair_penalty,risk_used,selected_assets
0.05,1.0,1.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.356423,2.895923,0.0895,3.5,fx|oil|index
0.05,1.0,1.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.356423,2.895923,0.0895,3.5,fx|oil|index
0.05,1.5,0.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.646779,3.078779,0.282,3.5,fx|crypto|oil|index
0.05,1.5,0.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.622923,2.895923,0.123,3.5,fx|oil|index
0.05,1.5,0.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.622923,2.895923,0.123,3.5,fx|oil|index
0.05,1.5,0.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.622923,2.895923,0.123,3.5,fx|oil|index
0.05,1.5,1.0,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.496779,3.078779,0.282,3.5,fx|crypto|oil|index
0.05,1.5,1.0,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.472923,2.895923,0.123,3.5,fx|oil|index
0.05,1.5,1.0,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.472923,2.895923,0.123,3.5,fx|oil|index
0.05,1.5,1.0,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.472923,2.895923,0.123,3.5,fx|oil|index
0.05,1.5,1.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.346779,3.078779,0.282,3.5,fx|crypto|oil|index
0.05,1.5,1.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.322923,2.895923,0.123,3.5,fx|oil|index
0.05,1.5,1.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.322923,2.895923,0.123,3.5,fx|oil|index
0.05,1.5,1.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.322923,2.895923,0.123,3.5,fx|oil|index
0.1,0.5,0.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.759779,3.078779,0.169,3.5,fx|crypto|oil|index
0.1,0.5,0.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.667423,2.895923,0.0785,3.5,fx|oil|index
0.1,0.5,0.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.667423,2.895923,0.0785,3.5,fx|oil|index
0.1,0.5,0.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.667423,2.895923,0.0785,3.5,fx|oil|index
0.1,0.5,1.0,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.609779,3.078779,0.169,3.5,fx|crypto|oil|index
0.1,0.5,1.0,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.517423,2.895923,0.0785,3.5,fx|oil|index
0.1,0.5,1.0,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.517423,2.895923,0.0785,3.5,fx|oil|index
0.1,0.5,1.0,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.517423,2.895923,0.0785,3.5,fx|oil|index
0.1,0.5,1.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.459779,3.078779,0.169,3.5,fx|crypto|oil|index
0.1,0.5,1.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.367423,2.895923,0.0785,3.5,fx|oil|index
0.1,0.5,1.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.367423,2.895923,0.0785,3.5,fx|oil|index
0.1,0.5,1.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.367423,2.895923,0.0785,3.5,fx|oil|index
0.1,1.0,0.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.680779,3.078779,0.248,3.5,fx|crypto|oil|index
0.1,1.0,0.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.633923,2.895923,0.112,3.5,fx|oil|index
0.1,1.0,0.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.633923,2.895923,0.112,3.5,fx|oil|index
0.1,1.0,0.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.633923,2.895923,0.112,3.5,fx|oil|index
0.1,1.0,1.0,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.530779,3.078779,0.248,3.5,fx|crypto|oil|index
0.1,1.0,1.0,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.483923,2.895923,0.112,3.5,fx|oil|index
0.1,1.0,1.0,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.483923,2.895923,0.112,3.5,fx|oil|index
0.1,1.0,1.0,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.483923,2.895923,0.112,3.5,fx|oil|index
0.1,1.0,1.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.380779,3.078779,0.248,3.5,fx|crypto|oil|index
0.1,1.0,1.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.333923,2.895923,0.112,3.5,fx|oil|index
0.1,1.0,1.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.333923,2.895923,0.112,3.5,fx|oil|index
0.1,1.0,1.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.333923,2.895923,0.112,3.5,fx|oil|index
0.1,1.5,0.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.601779,3.078779,0.327,3.5,fx|crypto|oil|index
0.1,1.5,0.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.600423,2.895923,0.1455,3.5,fx|oil|index
0.1,1.5,0.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.600423,2.895923,0.1455,3.5,fx|oil|index
0.1,1.5,0.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.600423,2.895923,0.1455,3.5,fx|oil|index
0.1,1.5,1.0,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.451779,3.078779,0.327,3.5,fx|crypto|oil|index
