asset,event_type,ym,surprise,actual,forecast,early_bps,net_bps,pnl_timing,pnl_directed,surprise_z
CRYPTO,NFP,2025-05,51.0,177.0,126.0,-11.735658300279228,40.50522324096528,26.162839794364515,26.162839794364515,0.3559760698565518
CRYPTO,CPI,2025-05,0.5,0.2,-0.3,20.945371111611433,12.304174299480053,5.403218323671634,-15.85230415271721,1.3935785881453
CRYPTO,NFP,2025-06,8.0,139.0,131.0,17.51283973195017,-5.670512487683244,-0.08333362126600008,0.08558640009681717,-0.09422895966791077
CRYPTO,CPI,2025-06,-0.5,0.1,0.6,44.74897335880357,40.13845643495051,-1.8386155291241195,-1.8386155291241195,-2.09036788221795
CRYPTO,NFP,2025-07,17.0,147.0,130.0,-3.5792059160533185,-10.947445938924716,1.3257994482294162,1.3257994482294162,0.0
CRYPTO,CPI,2025-07,0.6,0.3,-0.3,40.05145171116054,24.30202065492937,0.7033662709086137,0.16013462593478422,1.7419732351816248
CRYPTO,NFP,2025-08,-59.0,73.0,132.0,13.382597460822598,24.86270061336393,-1.5243981171699765,-1.5243981171699765,-0.7957112149734686
CRYPTO,CPI,2025-08,-0.4,0.2,0.6,36.566508798057114,65.29781939446089,4.2895271406882,4.2895271406882,-1.7419732351816248
CRYPTO,NFP,2025-09,-107.0,22.0,129.0,31.323688235085356,52.72474528746018,-1.6232169118015598,-1.6232169118015598,-1.2982656665356593
CRYPTO,CPI,2025-09,0.2,0.4,0.2,-51.634625833871794,-36.37574585412806,33.026269702276295,33.026269702276295,0.348394647036325
CRYPTO,NFP,2025-11,35.0,119.0,84.0,7.008165441435565,20.954594417652572,-0.9173599388037061,5.255185147414522,0.18845791933582154
CRYPTO,NFP,2025-12,-56.0,64.0,120.0,6.82238124228407,-38.954079186088734,1.8800489205370603,1.8800489205370603,-0.7643015617508317
FX,NFP,2024-01,215.0,216.0,1.0,19.505226576557178,-0.38461010151147335,-0.03499299221065755,-0.03499299221065755,2.073037112694037
FX,CPI,2024-01,0.1,0.3,0.2,18.29259968784358,44.96703236698152,1.553369992431831,1.553369992431831,0.0
FX,NFP,2024-02,167.0,353.0,186.0,57.05413251993474,70.42188820697292,-0.07761841073661202,-0.07761841073661202,1.570482661131846
FX,CPI,2024-02,0.0,0.3,0.3,57.633149253176754,77.93447240651008,,,-0.348394647036325
