asset,event_type,early_bps,bucket,gross_bps,net_retail_conservative_bps,net_retail_optimistic_bps
FX,FOMC,6.8882094015676465,small,5.714823580033057,4.119424557067886,4.543907656034252
FX,NFP,38.5911891200752,mid,1.0676738389869822,-1.0183661449266075,-0.36900207346994807
FX,CPI,39.8078982642125,mid,1.9572641496701237,2.9023879709348503,3.5514974584520247
FX,NFP,48.527120780490485,big,4.78519237491315,5.6775344464458755,6.326463737063426
FX,CPI,21.811689036330684,mid,2.945338578520529,4.068942557981359,4.717976298317783
FX,FOMC,22.527295972433194,mid,3.5972825100105688,0.6432964940865208,1.2925526698141625
FX,NFP,0.4751770883182349,small,1.2221328254691244,0.22287968252028312,0.4228652253139401
FX,FOMC,5.582006238713522,small,3.4458654537217193,0.7756969903675696,1.4251394205015537
FX,NFP,3.101817991848499,small,1.7301320449836233,0.6287928419416836,1.0535065050225172
FX,CPI,0.8079371748059838,small,2.0687671117758377,0.7689388759406061,0.968913497660218
FX,NFP,1.417850088132333,small,1.9008221861405161,0.5688314259093111,0.7688528029951683
FX,CPI,1.436277169575284,small,1.5642607910060224,0.3282128911267893,0.7528569933827448
FX,FOMC,6.680603236096649,small,4.288507759316884,1.4205513323166223,2.069757039029741
OIL,NFP,27.54062241806743,mid,26.152787336544137,21.143128153448988,22.145392609551507
OIL,CPI,13.823610727122793,small,-20.804438280166426,-25.81356188019923,-24.811130615500886
OIL,FOMC,2.6798874447298004,small,-0.0,-5.000800160031126,-4.000450067509597
OIL,NFP,1.3802622498282346,small,15.172413793103079,10.167145881167961,11.168312684130989
OIL,CPI,23.628248884222103,mid,60.46267087276513,55.48606061906314,56.48036232774423
OIL,NFP,0.0,small,2.608922515001666,-2.391321005299595,-1.3914101118573932
OIL,CPI,10.495932826030119,small,-1.3145786775337065,-6.315904774223501,-5.315423177814193
OIL,FOMC,2.524614996213259,small,16.405855628471855,11.400094438460574,12.401384542446326
OIL,NFP,5.945303210466157,small,-45.22732682694652,-50.246221536618506,-49.241347128041845
OIL,CPI,8.38926174496546,small,6.0031216232458995,1.0047231922093456,2.0044727624012335
OIL,FOMC,19.245573518091863,small,-32.055391716886426,-26.807723465575137,-25.81025433454076
OIL,NFP,24.23778543181543,mid,-2.545500827286773,-10.088165821079519,-9.089024650629328
OIL,CPI,18.186541958951086,small,12.950012950012635,-3.7057217955983592,-2.70594234881416
OIL,NFP,3.966155473295041,small,-0.0,-5.000800160031126,-4.000450067511817
OIL,CPI,21.661569826707527,small,1.2714558169091283,-8.8105883652968,-7.811319430708451
OIL,FOMC,7.650133877342702,small,2.5519969376053275,0.10588733367000813,1.1057267829582837
OIL,NFP,9.537434430137992,small,2.3812358614128115,-2.6189166024371815,-1.6190284696971915
OIL,CPI,32.83073929961189,mid,3.6398932297987407,1.0641267840071365,2.0643832395171877
OIL,FOMC,16.677357280309167,small,-0.0,-1.1466840176811424,-0.14671931751652956
OIL,NFP,7.974481658690191,small,30.64623584277171,22.999202079522107,23.996752311728933
OIL,CPI,7.7992980631735875,small,1.2983640612840297,-3.701355340460898,-2.7015754570082198
OIL,NFP,31.577436486291965,mid,-2.866972477065799,-12.161711481147973,-11.162777675638557
OIL,CPI,14.867677668749524,small,1.488759863035316,-5.0008001600333465,-4.000450067511817
OIL,FOMC,67.53843943095194,big,-8.542141230066802,-27.75293650901356,-26.755561904016176
OIL,NFP,39.18918918919046,mid,1.346982758620996,-2.3063120134582107,-1.30639261869303
OIL,CPI,14.836795252225476,small,-2.69541778975646,-3.651303611983513,-2.6515187231103123
OIL,NFP,11.248593925758943,small,-1.4086491055076422,-7.81962258892943,-6.818990628252418
OIL,FOMC,6.887052341597588,small,1.376651982378796,0.505205566818546,1.505406127406573
OIL,CPI,11.725047633006636,small,-4.391743522178526,-6.462957781849909,-5.4634540724608485
OIL,NFP,17.725258493354048,small,-0.0,-5.000800160031126,-4.000450067511817
OIL,CPI,5.7578810997538366,small,1.4400921658974664,-2.119463524041908,-1.1194015507843815
OIL,FOMC,5.702879954376794,small,1.422070534700115,-6.420499861353845,-5.420991905957905
OIL,NFP,2.7285129604370795,small,0.0,-4.999200159966465,-3.9995500674895315
OIL,CPI,15.612802498048417,small,1.2988699831151251,1.4942393618188063,2.4945388307372482
OIL,FOMC,2.743484224965176,small,1.371365880418196,-2.256813109257182,-1.2568887643539242
OIL,NFP,5.626670417780977,small,0.0,-3.593292874476516,-2.5935021842361508
OIL,CPI,13.781697905183021,small,1.3802622498282346,-0.8594999805812122,0.14043600261570788
OIL,NFP,13.396844298896315,small,1.4874312063062334,-6.485594330947308,-5.486092885326309
OIL,CPI,5.960363582180328,small,2.975304968759751,-9.457056916251204,-8.457852631753692
OIL,FOMC,4.479617739285846,small,5.976393246676093,2.4726801926976414,3.4722829745236226
OIL,NFP,8.039877793857286,small,14.464802314368974,6.246702379228864,7.247477118226154
OIL,CPI,13.151405556468543,small,-116.680361544782,-115.09817329646077,-114.10953365214927
OIL,NFP,39.23575571477489,mid,5.090785677923648,5.18002672377882,6.180694789874487
OIL,FOMC,8.59106529209619,small,1.717622810031294,-3.282559115859284,-2.282737350688512
OIL,CPI,12.849341471250497,small,1.6066838046280285,-0.1788203399034618,0.8210475787294733
OIL,NFP,18.963337547408532,small,15.780337699227154,12.352229348986278,13.353614671227533
OIL,CPI,15.126304643775512,small,-1.5114873035049214,-12.551331317297686,-11.55243647572146
OIL,FOMC,4.103405826836326,small,-0.0,-6.369898394624872,-5.369411399121059
OIL,NFP,1.5015015015018562,small,-36.01981089599193,-41.00460601260913,-40.008556640861556
OIL,CPI,4.556500607533209,small,-0.0,-5.000800160031126,-4.000450067511817
OIL,FOMC,4.262574595055302,small,1.4216661927790586,-0.7347017377902212,0.26522176620680327
OIL,NFP,20.202020202020332,small,7.2181319474518,6.549496621797047,7.548691742354952
OIL,CPI,12.588512981905886,small,1.5730690577320239,-1.8543202481092749,-0.8543556519070563
OIL,NFP,11.153601019757708,small,7.964319847084678,6.148164122152689,7.148929006832617
